,BusDesc,B1_PER_SUB_TYPE,DBA,Business_Location,add,add_num,street,new_name,alcohol
4950,HAIR SALON,Business Personal Repair Svs,DESIGNER HAIRCUTS,"1445 UNIVERSITY AVE
BERKELEY, CA 94702
(37.870449991, -122.28369699)",1445 UNIVERSITY AVE,1445,UNIVERSITYAVE,DESIGNERHAIRCUTS,False
4953,"ART GOOD(AFRICAN ART,CRAFT,JEWELRY)",Wholesale Trade,LE BALAFON,"3023 ADELINE ST
BERKELEY, CA 94703
(37.854453003, -122.268812993)",3023 ADELINE ST,3023,ADELINEST,LEBALAFON,False
4954,AUTO BODY & PAINT,Business Personal Repair Svs,M & M GARAGE,"1505 SAN PABLO AVE
BERKELEY, CA 94702
(37.876221015, -122.294062973)",1505 SAN PABLO AVE,1505,SANPABLOAVE,MMGARAGE,False
4956,RESIDENTIAL RENTAL PROPERTY - 6 UNITS,Rental of Real Property,WEI 1998 FAMILY TRUST,"2829 PRINCE ST
BERKELEY, CA 94705
(37.855316004, -122.248920976)",2829 PRINCE ST,2829,PRINCEST,WEI1998FAMILYTRUST,False
4957,SOUND & LIGHT ART INSTALLATIONS,Entertainment Recreation,ZAMBOOM LLC,"1805 DELAWARE ST
BERKELEY, CA 94703
(37.874158019, -122.275286001)",1805 DELAWARE ST,1805,DELAWAREST,ZAMBOOMLLC,False
4960,ADULT LANGUAGE SCHOOL,Professional SemiProfessional,ADVANCE ENGLISH ACADEMY LLC,"2161 SHATTUCK AVE
BERKELEY, CA 94704
(37.870157001, -122.267470966)",2161 SHATTUCK AVE,2161,SHATTUCKAVE,ADVANCEENGLISHACADEMYLLC,False
4961,RESIDENTIAL PROPERTY 4 UNITS,Rental of Real Property,HANDIS THERESA,"1142 ALLSTON WAY
BERKELEY, CA 94702
(37.866506012, -122.289199961)",1142 ALLSTON WAY,1142,ALLSTONWAY,HANDISTHERESA,False
4962,PSYCHOTHERAPY OFFICE,Professional SemiProfessional,"ANDELMAN MD, ROSS","2020 MILVIA ST 450
BERKELEY, CA 94704
(37.871087016, -122.270948031)",2020 MILVIA ST 450,2020,MILVIAST,ANDELMANMDROSS,False
4964,RENTAL PROPERTY,Rental of Real Property,FRANCES ARCHER 1999 TRS,"1218 SHATTUCK AVE
BERKELEY, CA 94709
(37.884787991, -122.270133981)",1218 SHATTUCK AVE,1218,SHATTUCKAVE,FRANCESARCHER1999TRS,False
4965,PIZZA RESTAURANT,Retail Trade,LOCAL PIZZA INC,"1821 SOLANO AVE
BERKELEY, CA 94707
(37.891578003, -122.27938098)",1821 SOLANO AVE,1821,SOLANOAVE,LOCALPIZZA,False
4966,ATTORNEY,Professional SemiProfessional,LAW OFFICE OF MICHAEL FREUND,"1919 ADDISON ST 105
BERKELEY, CA 94704
(37.871200004, -122.271912034)",1919 ADDISON ST 105,1919,ADDISONST,LAWOFFICEOFMICHAELFREUND,False
4967,CATERING,Retail Trade,MUSASHIYA CORPORATION,"2126 DWIGHT WAY
BERKELEY, CA 94704
(37.863904018, -122.266385007)",2126 DWIGHT WAY,2126,DWIGHTWAY,MUSASHIYACORPORATION,True
4970,REAL ESTATE BROKER,Professional SemiProfessional,GOLDEN GATE SOTHEBY'S INTERNATIONAL REALTY,"2961 COLLEGE AVE
BERKELEY, CA 94705
(37.856826004, -122.252827027)",2961 COLLEGE AVE,2961,COLLEGEAVE,GOLDENGATESOTHEBYSINTERNATIONALREALTY,False
4971,GRAPHIC DESIGN SERVICES,Professional SemiProfessional,KASMAN DESIGN INC,"2001 ADDISON ST 300
BERKELEY, CA 94704
(37.871179007, -122.270358029)",2001 ADDISON ST 300,2001,ADDISONST,KASMANDESIGN,False
4972,ART JEWELRY STUDIO,Professional SemiProfessional,ARMONITA YUEN,"2200 ROOSEVELT AVE
BERKELEY, CA 94703
(37.86819199, -122.276354023)",2200 ROOSEVELT AVE,2200,ROOSEVELTAVE,ARMONITAYUEN,False
4974,RENTAL PROPERTY,Rental of Real Property,TRAN NHU C,"1817 DELAWARE ST
BERKELEY, CA 94703
(37.87421598, -122.274747967)",1817 DELAWARE ST,1817,DELAWAREST,TRANNHUC,False
4976,RESIDENTIAL RENTAL - 4 UNITS,Rental of Real Property,REDDY REALTY,"2161 VIRGINIA ST
BERKELEY, CA 94709
(37.877041017, -122.267028988)",2161 VIRGINIA ST,2161,VIRGINIAST,REDDYREALTY,False
4977,TRANSPORTATION & BUSINESS DEVELOPMENT CONSULTING & SERVICES,Professional SemiProfessional,JETPERFECT LLC,"2322 SHATTUCK AVE 309
BERKELEY, CA 94704
(37.867109006, -122.268166999)",2322 SHATTUCK AVE 309,2322,SHATTUCKAVE,JETPERFECTLLC,False
4980,RENTAL PROPERTY,Rental of Real Property,NANAK FOUNDATION TRUST,"1743 RUSSELL ST
BERKELEY, CA 94703
(37.856083996, -122.273069994)",1743 RUSSELL ST,1743,RUSSELLST,NANAKFOUNDATIONTRUST,False
4981,RESIDENTIAL RENTAL PROPERTY,Rental of Real Property,DEED OF TRUST ANNIE WILLIAMS ROQUE & ERNESTO ROQUE,"1428 BONITA AVE
BERKELEY, CA 94709
(37.880428982, -122.273091032)",1428 BONITA AVE,1428,BONITAAVE,DEEDOFTRUSTANNIEWILLIAMSROQUEERNESTOROQUE,False
4984,RESIDENTIAL RENTAL DUPLEX,Rental of Real Property,SPRAGUE ETHAN & JESSICA,"2307 WARD ST
BERKELEY, CA 94705
(37.860352019, -122.261671024)",2307 WARD ST,2307,WARDST,SPRAGUEETHANJESSICA,False
4987,RESIDENTIAL RENTAL 3 UNITS,Rental of Real Property,VALENTE GINO,"2338 ROOSEVELT AVE
BERKELEY, CA 94703
(37.86513402, -122.276016987)",2338 ROOSEVELT AVE,2338,ROOSEVELTAVE,VALENTEGINO,False
4988,RESIDENTIAL RENTAL - 4 UNITS,Rental of Real Property,SABETIMANI FARIDEH,"2573 VIRGINIA ST
BERKELEY, CA 94709
(37.878158995, -122.259444037)",2573 VIRGINIA ST,2573,VIRGINIAST,SABETIMANIFARIDEH,False
4991,RENTAL PROPERTY - 4 UNITS,Rental of Real Property,1612 SIXTY-THIRD STREET LLC,"1612 SIXTY-THIRD ST
BERKELEY, CA 94703
(37.847083005, -122.274961035)",1612 SIXTY-THIRD ST,1612,SIXTY-THIRDST,1612SIXTYTHIRDSTREETLLC,False
4995,ACCOUNTING CONSULTING SERVICES,Professional SemiProfessional,SUNSPIRAL CONSULTING,"1300 CAMPUS DR
BERKELEY, CA 94708
(37.885209014, -122.254399975)",1300 CAMPUS DR,1300,CAMPUSDR,SUNSPIRALCONSULTING,False
4997,COMPUTER REPAIR,Business Personal Repair Svs,MANOUCH,"1013 PARDEE ST
BERKELEY, CA 94710
(37.857173014, -122.290060028)",1013 PARDEE ST,1013,PARDEEST,MANOUCH,False
4998,RESIDENTIAL RENTAL 49 UNITS,Rental of Real Property,SCHNEIDER ANN,"2324 DWIGHT WAY
BERKELEY, CA 94704
(37.864443016, -122.261683011)",2324 DWIGHT WAY,2324,DWIGHTWAY,SCHNEIDERANN,False
4999,RES RENTAL - 4 UNITS (U1),Rental of Real Property,KHACHATOURIAN HENRICK,"2116 ACTON ST
BERKELEY, CA 94702
(37.868477981, -122.284297972)",2116 ACTON ST,2116,ACTONST,KHACHATOURIANHENRICK,False
5001,BUSINESS CONSULTING,Professional SemiProfessional,BAY TECHNICAL CONSULTING INC,"1337 BERKELEY WAY
BERKELEY, CA 94702
(37.870816993, -122.286146014)",1337 BERKELEY WAY,1337,BERKELEYWAY,BAYTECHNICALCONSULTING,False
5002,MARKETING OPERATIONS AND MANAGEMENT,Professional SemiProfessional,PLAN EXPERIENTIAL INC,"2550 NINTH ST 207B
BERKELEY, CA 94710
(37.859424016, -122.291817964)",2550 NINTH ST 207B,2550,NINTHSTB,PLANEXPERIENTIAL,False
5003,RENTAL PROPERTY-1 UNIT (U1),Rental of Real Property,VINCENT & GERST LLC,"2777 NINTH ST 4
BERKELEY, CA 94710
(37.856068992, -122.289856012)",2777 NINTH ST 4,2777,NINTHST,VENTGERSTLLC,False
5006,RESIDENTIAL RENTAL 4 UNITS,Rental of Real Property,LAKIREDDY JAY ETAL,"2151 VIRGINIA ST
BERKELEY, CA 94709
(37.87702002, -122.267191011)",2151 VIRGINIA ST,2151,VIRGINIAST,LAKIREDDYJAYETAL,False
5007,TITLE HOLDING CO,Non Profit Organizations,GOLDBERG JACK B FOUNDATION,"1836 ROSE ST
BERKELEY, CA 94703
(37.881169984, -122.274708991)",1836 ROSE ST,1836,ROSEST,GOLDBERGJACKBFOUNDATION,False
5008,RES RENTAL 4 PLEX (U1),Rental of Real Property,WAINWRIGHT MARY L,"2758 SACRAMENTO ST
BERKELEY, CA 94702
(37.857474009, -122.28022596)",2758 SACRAMENTO ST,2758,SACRAMENTOST,WAINWRIGHTMARYL,False
5011,JAPANESE FAST FOOD CASUAL RESTAURANT,Retail Trade,SUSHINISTA,"2235 MILVIA ST
BERKELEY, CA 94704
(37.867751018, -122.270019987)",2235 MILVIA ST,2235,MILVIAST,SUSHINISTA,True
5012,RESIDENTIAL 6 UNITS,Rental of Real Property,LUM WALTER Y,"1533 BERKELEY WAY
BERKELEY, CA 94703
(37.871713018, -122.280722001)",1533 BERKELEY WAY,1533,BERKELEYWAY,LUMWALTERY,False
5013,RENTAL PROPERTY/18 UNITS,Rental of Real Property,VIRGINIA-COLLEGE ASSOCIATES,"2420 VIRGINIA ST
BERKELEY, CA 94709
(37.877363007, -122.262042008)",2420 VIRGINIA ST,2420,VIRGINIAST,VIRGINIACOLLEGEASSOCIATES,False
5014,LEGAL SERVICES,Professional SemiProfessional,SHERRELL LYNN,"2141 EMERSON ST
BERKELEY, CA 94705
(37.854875996, -122.26537197)",2141 EMERSON ST,2141,EMERSONST,SHERRELLLYNN,False
5015,COMMERICAL (150),Non Profit Organizations,STRAWBERRY CREEK LODGE FOUNDATION,"1320 ADDISON ST
BERKELEY, CA 94702
(37.868333979, -122.285071035)",1320 ADDISON ST,1320,ADDISONST,STRAWBERRYCREEKLODGEFOUNDATION,False
5016,PSYCHOTHERAPY PRACTICE,Professional SemiProfessional,WEINSTEIN KNOBLER MARTHA MFT,"2045 FRANCISCO ST
BERKELEY, CA 94709
(37.87569712, -122.269299781)",2045 FRANCISCO ST,2045,FRANCISCOST,WEINSTEINKNOBLERMARTHAMFT,False
5017,MIXED USE PROPERTY - 24 UNITS,Rental of Real Property,LAW & ASSOCIATES,"2429 SHATTUCK AVE
BERKELEY, CA 94704
(37.865143995, -122.267125967)",2429 SHATTUCK AVE,2429,SHATTUCKAVE,LAWASSOCIATES,False
5021,ATTORNEY,Professional SemiProfessional,LAW OFFICE OF JEFFREY J CARTER,"2041 BANCROFT WAY 207
BERKELEY, CA 94704
(37.867583271, -122.2683183)",2041 BANCROFT WAY 207,2041,BANCROFTWAY,LAWOFFICEOFJEFFREYJCARTER,False
5024,CLEANERS,Business Personal Repair Svs,DERBY LAUNDROMATIC,"2705 COLLEGE AVE
BERKELEY, CA 94705
(37.861832011, -122.253279985)",2705 COLLEGE AVE,2705,COLLEGEAVE,DERBYLAUNDROMATIC,False
5025,RENTAL PROPERTY-1 UNIT (U1),Rental of Real Property,VINCENT & GERST LLC,"2777 NINTH ST 18
BERKELEY, CA 94710
(37.856068992, -122.289856012)",2777 NINTH ST 18,2777,NINTHST,VENTGERSTLLC,False
5026,COUNTER SERVICE RESTAURANT,Retail Trade,BAGELTOPIA,"1401 UNIVERSITY AVE A
BERKELEY, CA 94702
(37.870368016, -122.284077025)",1401 UNIVERSITY AVE A,1401,UNIVERSITYAVEA,BAGELTOPIA,False
5028,ENERGY EFFICIENCY CONSULTANTS,Professional SemiProfessional,HOME ENERGY SERVICES,"1609 EIGHTH ST
BERKELEY, CA 94710
(37.874073991, -122.297097976)",1609 EIGHTH ST,1609,EIGHTHST,HOMEENERGYSERVICES,False
5029,PSYCHOTHERAPY,Professional SemiProfessional,LESLIE BELL LCSW,"2127 ASHBY AVE
BERKELEY, CA 94705
(37.855654004, -122.265342969)",2127 ASHBY AVE,2127,ASHBYAVE,LESLIEBELLLCSW,False
5031,RENTAL PROPERTY,Rental of Real Property,MAIETTA CAROLYN,"2686 MABEL ST
BERKELEY, CA 94702
(37.858288017, -122.284983025)",2686 MABEL ST,2686,MABELST,MAIETTACAROLYN,False
5033,COMPUTER STORE,Retail Trade,COM NET,"1916 HASTE ST B
BERKELEY, CA 94704
(37.864149021, -122.271303005)",1916 HASTE ST B,1916,HASTESTB,COMNET,False
5035,RESIDENTIAL RENTAL PROPERTY,Rental of Real Property,ESCOBER GEORGE & SEVERA,"3133 COLLEGE AVE
BERKELEY, CA 94705
(37.852686014, -122.25238002)",3133 COLLEGE AVE,3133,COLLEGEAVE,ESCOBERGEORGESEVERA,False
5037,JEWELRY & LEATHER ACCESSORIES,Retail Trade,ZEBRA INC,"2467 TELEGRAPH AVE
BERKELEY, CA 94705
(37.865713, -122.258302002)",2467 TELEGRAPH AVE,2467,TELEGRAPHAVE,ZEBRA,False
5040,RENTAL PROPERTY/4 UNITS,Rental of Real Property,TRAN DUNG Q/VU LAN T,"2017 NINTH ST
BERKELEY, CA 94710
(37.867983993, -122.29391696)",2017 NINTH ST,2017,NINTHST,TRANDUNGQVULANT,False
5041,COMMERCIAL RENTAL,Rental of Real Property,SHAMSZAD SASHA & MEREDITH,"2748 ADELINE ST
BERKELEY, CA 94703
(37.858654013, -122.268159037)",2748 ADELINE ST,2748,ADELINEST,SHAMSZADSASHAMEREDITH,False
5043,COMMERCIAL PROPERTY RENTAL,Rental of Real Property,DABEL W&G/DABEL G&K/TELEG AV P,"2392 TELEGRAPH AVE
BERKELEY, CA 94704
(37.867032982, -122.259033994)",2392 TELEGRAPH AVE,2392,TELEGRAPHAVE,DABELWGDABELGKTELEGAVP,False
5045,HAWAIIAN POKE FAST CASUAL RESTAURANT,Retail Trade,POKE PARLOR LLC,"2485 TELEGRAPH AVE
BERKELEY, CA 94704
(37.865392979, -122.258322035)",2485 TELEGRAPH AVE,2485,TELEGRAPHAVE,POKEPARLORLLC,False
5047,DENTAL PRACTICE,Professional SemiProfessional,"ROBERT B WATKINS, DDS","2320 WOOLSEY ST
BERKELEY, CA 94705
(37.852751016, -122.260887987)",2320 WOOLSEY ST,2320,WOOLSEYST,ROBERTBWATKINSDDS,False
5048,DANCE SERVICES,Professional SemiProfessional,"DANSEMEDICA, INC.","2747 SAN PABLO AVE A
BERKELEY, CA 94702
(37.856013001, -122.287587031)",2747 SAN PABLO AVE A,2747,SANPABLOAVEA,DANSEMEDICA,False
5050,PSYCHOLOGIST,Professional SemiProfessional,"JANE WEISBIN, PSY","2612 ALCATRAZ AVE 5
BERKELEY, CA 94705
(37.851028996, -122.252705992)",2612 ALCATRAZ AVE 5,2612,ALCATRAZAVE,JANEWEISBINPSY,False
5051,COMMERCIAL RENTAL - OFFICE BLDG (36),Rental of Real Property,HURWICH TR RUDOLPH,"2608 NINTH ST
BERKELEY, CA 94710
(37.858201013, -122.291338016)",2608 NINTH ST,2608,NINTHST,HURWICHTRRUDOLPH,False
5052,CONSULTING,Professional SemiProfessional,SULLIVAN JOAN MD,"2434 MILVIA ST
BERKELEY, CA 94704
(37.864141016, -122.270074972)",2434 MILVIA ST,2434,MILVIAST,SULLIVANJOANMD,False
5053,RENTAL PROPERTY-5 UNITS,Rental of Real Property,360 DEGREE VIEW LLC,"2920 HILLEGASS AVE
BERKELEY, CA 94705
(37.857311986, -122.256018018)",2920 HILLEGASS AVE,2920,HILLEGASSAVE,360DEGREEVIEWLLC,False
5056,SCULPTURE,Entertainment Recreation,DE STAEBLER STEPHEN L,"21 BRET HARTE RD
BERKELEY, CA 94708
(37.890226002, -122.26166499)",21 BRET HARTE RD,21,BRETHARTERD,DESTAEBLERSTEPHENL,False
5058,OBGYN/WOMEN'S HEALTH CLINIC,Professional SemiProfessional,"MILLIE MEDICAL GROUP, P.C.","2999 REGENT ST 524
BERKELEY, CA 94705
(37.85596799, -122.256260003)",2999 REGENT ST 524,2999,REGENTST,MILLIEMEDICALGROUPPC,False
5060,RESIDENTIAL RENTAL 3 UNITS,Rental of Real Property,MILLAN RUDOLPH,"2132 MCGEE AVE
BERKELEY, CA 94703
(37.868823986, -122.277567974)",2132 MCGEE AVE,2132,MCGEEAVE,MILLANRUDOLPH,False
5061,COMMERCIAL RENTAL - WAREHOUSE,Rental of Real Property,WHITE WEST PROPERTIES,"1930 SECOND ST
BERKELEY, CA 94710
(37.867346005, -122.302529031)",1930 SECOND ST,1930,SECONDST,WHITEWESTPROPERTIES,False
5062,CONSULTING - LANDSCAPE ARCHITECTURE,Professional SemiProfessional,BAY TREE DESIGN INC,"2808 ADELINE ST 1
BERKELEY, CA 94703
(37.857946999, -122.268385013)",2808 ADELINE ST 1,2808,ADELINEST,BAYTREEDESIGN,False
5063,LAUNDROMAT,Business Personal Repair Svs,SHATTUCKS SUNNY CLEANERS,"2105 WOOLSEY ST
BERKELEY, CA 94705
(37.852550981, -122.265864994)",2105 WOOLSEY ST,2105,WOOLSEYST,SHATTUCKSSUNNYCLEANERS,False
5064,MULTI-HOUSING RESIDENTIAL RENTAL PROPERTY- 10 UNITS,Rental of Real Property,2221-3 PARKER LLC,"2222 PARKER ST
BERKELEY, CA 94704
(37.862425995, -122.263730039)",2222 PARKER ST,2222,PARKERST,22213PARKERLLC,False
5065,RESIDENTIAL RENTAL - 5 UNITS,Rental of Real Property,NANAK FOUNDATION TRUST,"1011 DELAWARE ST
BERKELEY, CA 94710
(37.871536998, -122.294738974)",1011 DELAWARE ST,1011,DELAWAREST,NANAKFOUNDATIONTRUST,False
5068,COMMERCIAL RENTAL PROPERTY,Rental of Real Property,NASEEF MUSLEH & LEILA,"2995 SAN PABLO AVE
BERKELEY, CA 94702
(37.852507018, -122.286466035)",2995 SAN PABLO AVE,2995,SANPABLOAVE,NASEEFMUSLEHLEILA,False
5069,DENTAL OFFICE,Professional SemiProfessional,"JANICE K. CHAN, DDS, INC.","3045 TELEGRAPH AVE
BERKELEY, CA 94705
(37.854637992, -122.259634976)",3045 TELEGRAPH AVE,3045,TELEGRAPHAVE,JANICEKCHANDDS,False
5070,PILATES & EXERCISE STUDIO,Entertainment Recreation,CLAREMONT PILATES AND MOVEMENT,"3026 ASHBY AVE
BERKELEY, CA 94705
(37.85780501, -122.244462977)",3026 ASHBY AVE,3026,ASHBYAVE,CLAREMONTPILATESANDMOVEMENT,False
5072,COMMERCIAL RENTAL OFFICE BLDG,Rental of Real Property,KISTNER RICHARD & HENRIETTA,"1102 CAMELIA ST
BERKELEY, CA 94702
(37.878656, -122.294908959)",1102 CAMELIA ST,1102,CAMELIAST,KISTNERRICHARDHENRIETTA,False
5073,JOURNALISTS,Professional SemiProfessional,CAL MAVEN LLC,"1119 PAGE ST
BERKELEY, CA 94702
(37.877813996, -122.294409984)",1119 PAGE ST,1119,PAGEST,CALMAVENLLC,False
5079,CLINICAL PSYCHOLOGY,Professional SemiProfessional,PETER SILEN PH.D,"2025 ROSE ST 101A
BERKELEY, CA 94709
(37.882002014, -122.271007962)",2025 ROSE ST 101A,2025,ROSESTA,PETERSILENPHD,False
5080,GENERAL CONSTRUCTION CONTRACTOR,Construction or Contractor,GO MICROGRID DBA AKH CONSTRUCTION,"940 REGAL RD
BERKELEY, CA 94708
(37.893393984, -122.263784018)",940 REGAL RD,940,REGALRD,GOMICROGRIDDBAAKHCONSTRUCTION,False
5081,HAIR STYLIST,Business Personal Repair Svs,MATHISON LIZ,"1887 SOLANO AVE A&B
BERKELEY, CA 94707
(37.891698996, -122.277638969)",1887 SOLANO AVE A&B,1887,SOLANOAVEA&B,MATHISONLIZ,False
5082,DENTAL OFFICE,Professional SemiProfessional,BERKELEY DENTAL,"909 UNIVERSITY AVE
BERKELEY, CA 94710
(37.868480998, -122.296341007)",909 UNIVERSITY AVE,909,UNIVERSITYAVE,BERKELEYDENTAL,False
5084,RUGS,Retail Trade,RUBY RUGS,"1882 SOLANO AVE
BERKELEY, CA 94707
(37.891213013, -122.27768398)",1882 SOLANO AVE,1882,SOLANOAVE,RUBYRUGS,False
5085,RENTAL PROPERTY - 14 UNITS,Rental of Real Property,OSMUNDSON LORRAINE,"1700 SPRUCE ST
BERKELEY, CA 94709
(37.876818016, -122.265835992)",1700 SPRUCE ST,1700,SPRUCEST,OSMUNDSONLORRAINE,False
5086,ACUPUNCTURE,Professional SemiProfessional,DR ANNA GOLD,"2424 FIFTH ST
BERKELEY, CA 94710
(37.860590987, -122.296760018)",2424 FIFTH ST,2424,FIFTHST,DRANNAGOLD,False
5087,LAW FIRM,Professional SemiProfessional,ABKIN LAW PLC,"803 HEARST AVE
BERKELEY, CA 94710
(37.869362984, -122.299123966)",803 HEARST AVE,803,HEARSTAVE,ABKINLAWPLC,False
5089,GROCERY STORE,Retail Trade,GOLD BAER FOOD CENTER AND SPIRITS,"1801 EUCLID AVE
BERKELEY, CA 94709
(37.875852002, -122.260087012)",1801 EUCLID AVE,1801,EUCLIDAVE,GOLDBAERFOODCENTERANDSPIRITS,False
5090,DIAMOND BROKER,Wholesale Trade,SUN MARKETING GROUP,"1725 SHATTUCK AVE 207
BERKELEY, CA 94709
(37.875594007, -122.268396999)",1725 SHATTUCK AVE 207,1725,SHATTUCKAVE,SUNMARKETINGGROUP,False
5092,MARKETING STRATEGY & BRANDING,Professional SemiProfessional,A HUNDRED MONKEYS INC,"3106 SHATTUCK AVE
BERKELEY, CA 94705
(37.852763002, -122.266409985)",3106 SHATTUCK AVE,3106,SHATTUCKAVE,AHUNDREDMONKEYS,False
5093,EDUCATIONAL PROGRAMS,Professional SemiProfessional,MANGALAM RESEARCH CENTER FOR B,"2018 ALLSTON WAY
BERKELEY, CA 94704
(37.868937015, -122.269544984)",2018 ALLSTON WAY,2018,ALLSTONWAY,MANGALAMRESEARCHCENTERFORB,False
5096,BIOTECH COMPANY CONDUCTING RESEARCH TO DEVELOP TECHNOLOGIES FOR THE PRODUCTION OF CELL-BASED MEAT,Professional SemiProfessional,NOVEL FARMS INC,"2988 SAN PABLO AVE
BERKELEY, CA 94702
(37.852350829, -122.286877641)",2988 SAN PABLO AVE,2988,SANPABLOAVE,NOVELFARMS,False
5099,RESTAURANT,Retail Trade,HOMEMADE INC,"2454 SACRAMENTO ST
BERKELEY, CA 94702
(37.862272983, -122.28145701)",2454 SACRAMENTO ST,2454,SACRAMENTOST,HOMEMADE,True
5101,LAW PRACTICE,Professional SemiProfessional,LAW OFFICE OF AARON J FISCHER,"1127 SHATTUCK AVE
BERKELEY, CA 94707
(37.887171008, -122.270054017)",1127 SHATTUCK AVE,1127,SHATTUCKAVE,LAWOFFICEOFAARONJFISCHER,False
5102,RENTAL PROPERTY,Rental of Real Property,TOH WOON Y & SUK E,"1201 BANCROFT WAY
BERKELEY, CA 94702
(37.865105983, -122.288509962)",1201 BANCROFT WAY,1201,BANCROFTWAY,TOHWOONYSUKE,False
5103,COMMERCIAL RENTAL PROPERTY,Rental of Real Property,SABOORY WAIS,"2309 SAN PABLO AVE
BERKELEY, CA 94702
(37.864356012, -122.290157006)",2309 SAN PABLO AVE,2309,SANPABLOAVE,SABOORYWAIS,False
5105,GENERAL CONTRACTOR,Construction or Contractor,OLIVER BUILDERS INC,"1428 STANNAGE AVE
BERKELEY, CA 94702
(37.877986998, -122.293370041)",1428 STANNAGE AVE,1428,STANNAGEAVE,OLIVERBUILDERS,False
5106,PERSONAL PROPERTY MNGT/BROKER,Professional SemiProfessional,BLOCK STEPHEN E,"1331 SEVENTH ST C
BERKELEY, CA 94710
(37.878602984, -122.299412974)",1331 SEVENTH ST C,1331,SEVENTHSTC,BLOCKSTEPHENE,False
5107,COMMERCIAL RENTAL PROPERTY,Rental of Real Property,MOGANNAM GROUP LLC,"2704 DERBY ST
BERKELEY, CA 94705
(37.861971989, -122.253265987)",2704 DERBY ST,2704,DERBYST,MOGANNAMGROUPLLC,False
5110,PSYCHOTHERAPY,Professional SemiProfessional,GOETTSCHE REBECCA PHD,"2991 SHATTUCK AVE 302
BERKELEY, CA 94707
(37.855525006, -122.266313006)",2991 SHATTUCK AVE 302,2991,SHATTUCKAVE,GOETTSCHEREBECCAPHD,False
5111,LANDSCAPE ARCHITECTURE AND PLANNING,Professional SemiProfessional,ZANDER WESTBROOK DESIGN,"2927 NEWBURY ST
BERKELEY, CA 94703
(37.855642982, -122.267196962)",2927 NEWBURY ST,2927,NEWBURYST,ZANDERWESTBROOKDESIGN,False
5112,PHOTOGRAPHY,Professional SemiProfessional,TAPIA PHOTO DIGITAL,"120 PANORAMIC WAY
BERKELEY, CA 94704
(37.868516998, -122.248188985)",120 PANORAMIC WAY,120,PANORAMICWAY,TAPIAPHOTODIGITAL,False
5113,COMMERCIAL RENTAL PROPERTY,Rental of Real Property,KITTAMS DAVID,"1744 ALCATRAZ AVE
BERKELEY, CA 94703
(37.848468995, -122.27218696)",1744 ALCATRAZ AVE,1744,ALCATRAZAVE,KITTAMSDAVID,False
5114,PSYCHOTHERAPY OFFICE/ELDER CARE CONSULT,Professional SemiProfessional,NOWAKOWSKI MONICA LCSW,"3099 TELEGRAPH AVE
BERKELEY, CA 94705
(37.85387901, -122.259655009)",3099 TELEGRAPH AVE,3099,TELEGRAPHAVE,NOWAKOWSKIMONICALCSW,False
5116,CAREER/LIFE COACHING AND ACADEMIC TUTORING. WORK IS PREFORMED VIRTUALLY FROM HOME OFFICE.,Professional SemiProfessional,MEREDITH BELL COACHING,"2211 MCKINLEY AVE
BERKELEY, CA 94703
(37.868226021, -122.273525969)",2211 MCKINLEY AVE,2211,MCKINLEYAVE,MEREDITHBELLCOACHING,False
5117,INTERIOR DESIGN SERVICE,Professional SemiProfessional,REFINED INTERIORS LLC,"800 DELAWARE ST
BERKELEY, CA 94710
(37.870168988, -122.298819033)",800 DELAWARE ST,800,DELAWAREST,REFINEDINTERIORSLLC,False
5118,MUSIC EDUCATION,Professional SemiProfessional,PAPERCRANE MUSIC,"1325 SANTA FE AVE
BERKELEY, CA 94702
(37.880609989, -122.291021013)",1325 SANTA FE AVE,1325,SANTAFEAVE,PAPERCRANEMUSIC,False
5119,COMMERCIAL RENTAL PROPERTY,Rental of Real Property,MARKET PLAZA LLC,"1760 FOURTH ST
BERKELEY, CA 94710
(37.870316006, -122.301245007)",1760 FOURTH ST,1760,FOURTHST,MARKETPLAZALLC,False
5120,FINANCIAL SERVICES BROKER/DEALER,Professional SemiProfessional,WELLS FARGO CLEARING SERVICES LLC,"1800 SOLANO AVE
BERKELEY, MO 94707
(37.89105799, -122.280063016)",1800 SOLANO AVE,1800,SOLANOAVE,WELLSFARGOCLEARINGSERVICESLLC,False
5121,COMMERCIAL RENTAL - OFFICE BLDG,Rental of Real Property,IACOFANO DANIEL/GOLTSMAN S,"806 HEARST AVE
BERKELEY, CA 94710
(37.868890999, -122.298865971)",806 HEARST AVE,806,HEARSTAVE,IACOFANODANIELGOLTSMANS,False
5122,COMMERCIAL PROPERTY RENTAL,Rental of Real Property,DJJ & W ENTERPRISES,"642 HEARST AVE
BERKELEY, CA 94710
(37.867895983, -122.301800979)",642 HEARST AVE,642,HEARSTAVE,DJJWENTERPRISES,False
5123,COMMERCIAL RENTAL PROPERTY WAREHOUSE,Rental of Real Property,JEROME SZYMCZAK,"2512 NINTH ST 13A
BERKELEY, CA 94710
(37.860246994, -122.292069002)",2512 NINTH ST 13A,2512,NINTHSTA,JEROMESZYMCZAK,False
5124,"JEWELRY, RUGS, ART",Retail Trade,TIBET IMPORTS,"1600 SHATTUCK AVE 102
BERKELEY, CA 94702
(37.878105979, -122.269394026)",1600 SHATTUCK AVE 102,1600,SHATTUCKAVE,TIBETIMPORTS,False
